NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano,diffMediaAno,medPerguntaAno
Letras-Português (Licenciatura) (1160083),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.59,17,3,2014,0.62,4.96
Letras-Português (13450),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.59,29,12,2014,0.16,5.43
Pedagogia (Licenciatura) (13410),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.58,127,3,2014,0.43,5.15
Pedagogia (Licenciatura) (13410),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.58,129,3,2014,0.6,4.98
Engenharia Ambiental (112282),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.58,19,3,2014,0.66,4.92
Matemática (Licenciatura) (99806),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.58,19,6,2014,0.24,5.34
Pedagogia (Licenciatura) (13452),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.58,38,4,2014,0.6,4.98
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.57,68,9,2014,0.18,5.4
Engenharia Elétrica (13438),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.57,131,7,2014,0.58,5
Geografia (Licenciatura) (13407),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.57,84,13,2014,0.14,5.43
História (Licenciatura) (13405),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.57,118,14,2014,0.14,5.43
Letras-Português (Licenciatura) (1160083),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.56,16,5,2014,0.46,5.1
Geografia (Licenciatura) (120777),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.56,52,7,2014,0.22,5.34
Letras-Português (Licenciatura) (1160083),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.56,18,6,2014,0.34,5.21
Letras-Português (Licenciatura) (1160083),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.56,18,3,2014,0.44,5.11
História (Licenciatura) (13449),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.56,90,9,2014,0.24,5.31
Letras-Português (Licenciatura) (1160083),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.56,18,5,2014,0.43,5.13
Letras-Português (Licenciatura) (1160083),UFCG,PB,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.56,18,1,2014,0.93,4.62
Letras-Português (Licenciatura) (1160083),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.56,18,5,2014,1.1,4.46
