NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Matemática (Licenciatura) (13448),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.277777777777778,18,15,2017
Matemática (Licenciatura) (13448),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.277777777777778,18,20,2017
Engenharia (118562),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.275862068965517,29,24,2017
Geografia (Licenciatura) (120777),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.274193548387097,62,8,2017
Geografia (Licenciatura) (120777),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.274193548387096,62,31,2017
Química (Licenciatura) (1152881),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.272727272727273,33,11,2017
Química (Licenciatura) (1152881),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.272727272727273,33,9,2017
Química (Licenciatura) (1152881),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.2727272727272725,33,16,2017
Química (Licenciatura) (1152881),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.2727272727272725,33,19,2017
Engenharia (1106561),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.269230769230769,26,22,2017
Física (Licenciatura) (99810),UFCG,PB,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,5.266666666666667,15,1,2017
Física (Licenciatura) (99810),UFCG,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,5.266666666666667,15,4,2017
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.264150943396227,53,5,2017
Engenharia Civil (13439),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.261363636363637,88,20,2017
Engenharia (1106561),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.2592592592592595,27,32,2017
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.257575757575757,66,6,2017
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.257142857142857,35,5,2017
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.257142857142857,35,21,2017
